ID V7/V7.1;Título;Ação
REC-0024;Mousse de Leite Ninho com Gelatina;EXCLUIR
REC-0026;Bolo de Chocolate da Isamara Amâncio;EXCLUIR
REC-0027;Brigadeiro de Paçoca;EXCLUIR
REC-0035;Bolo Brigadeiro;EXCLUIR
REC-0038;Cobertura para Bolo — Variante 1;EXCLUIR
